CRSE_GRADE_OFF,percentile in HS class,ACTMATH,ACTCOMP,YEARS_OF_STUDY_ACT,ALG SCORE,MBSC SCORE,TRIG SCORE,self reported math GPA,placement
BC,0.8,25,22,8,630,640,520,4,MATH D
D,0.82,26,26,6,440,460,400,4,MATH B
B,0.84,23,21,5,610,610,570,3.7,MATH E
BC,0.75,22,24,5,440,420,450,2,MATH B
C,0.75,27,25,8,560,690,760,3.2,MATH D
F,0.83,23,28,8,380,360,430,3.7,MATH B
BC,0.65,23,25,8,580,570,450,4,MATH D
AB,0.94,31,29,8,660,720,660,4, 
A,,33,28,6,730,790,710,4,MATH E
BC,0.44,24,20,8,, , ,, 
AB,0.92,30,28,7,600,630,550,3.4,MATH D
A,0.89,25,26,8,640,550,660,4,MATH E
F,0.62,24,27,4,480,480,380,2.7,MATH C
C,0.75,28,28,0,480,550,450,,MATH C
C,,24,22,8,480,540,470,3.3,MATH C
B,0.8,22,23,8,560,510,660,3.7,MATH D
B,0.69,26,27,6,510,600,610,3.8,MATH D
D,0.61,19,22,6,450,420,450,3, 
C,0.8,23,24,8,420,470,520,3.8,MATH B
C,0.76,22,23,8,530,400,470,3.7,MATH D
BC,,20,21,5,, , ,,MATH D
D,0.65,25,22,8,490,600,550,,MATH C
C,,23,23,5,560,470,490,3.8,MATH D
B,0.82,28,27,8,520,550,340,4,MATH D
D,,19,21,6,, , ,2.7,MATH C
AB,,19,21,6,, , ,2.7,MATH C
BC,0.74,18,21,6,370,470,420,3.2,MATH B
AB,0.86,26,27,8,570,570,560,, 
B,,20,25,5,410,520,590,,MATH B
A,0.95,25,24,5,630,550,660,4,MATH E
B,,25,24,6,420,460,500,2.7, 
AB,0.92,28,25,5,630,600,610,3.7,MATH E
A,,26,30,8,, , ,3.7,MATH B
C,0.8,23,22,6,440,450,520,4,MATH B
D,0.8,25,23,5,530,600,500,3, 
BC,,26,31,6,570,790,600,3.3,MATH D
A,0.77,25,23,8,570,570,520,,MATH D
A,0.74,26,24,8,500,630,480,3.8,MATH C
AB,0.53,23,24,8,520,520,560,3.3,MATH D
B,0.73,28,27,6,, , ,3.5,MATH D
C,,30,28,8,580,640,710,3,MATH E
B,0.69,18,21,8,480,420,390,, 
AB,,29,28,5,710,790,660,3.4,MATH E
C,0.79,18,18,8,360,240,430,3,MATH A
B,0.96,25,24,8,510,600,520,4,MATH D
AB,,26,27,8,580,720,620,3.5,MATH D
C,0.85,20,22,8,390,400,270,3.7,MATH B
C,,22,31,8,560,640,560,2.7,MATH D
BC,0.61,27,21,7,580,570,560,4, 
F,0.84,24,24,5,520,450,420,3.8, 
D,,20,23,6,420,450,360,2.3, 
BC,,23,27,4,480,620,420,0.7, 
AB,,22,21,8,520,570,600,3.7,MATH D
F,,25,27,8,480,640,490,3.3, 
D,0.82,25,30,5,440,570,450,2.7, 
A,0.89,23,26,7,520,570,490,3.8,MATH D
B,0.87,22,21,8,600,600,500,3.7,MATH D
F,0.87,25,26,8,530,570,430,3,MATH D
C,,23,24,8,340,410,450,2.3,MATH B
C,,32,29,8,560,640,560,4,MATH D
BC,,23,24,5,520,640,560,4, 
D,0.74,29,32,8,570,600,590,3.8,MATH D
F,0.73,21,23,5,390,520,450,3,MATH B
C,0.73,21,23,5,390,520,450,3,MATH B
D,0.79,25,25,8,390,450,450,3.5,MATH B
A,,33,29,8,, , ,3.6, 
AB,,23,23,6,560,480,590,3.7,MATH D
A,0.95,32,30,8,570,690,560,4,MATH D
AB,0.91,26,25,5,600,570,490,4,MATH D
B,,28,26,7,570,760,640,2.8,MATH D
C,0.82,25,23,0,480,470,450,4, 
C,0.77,18,24,8,440,460,340,3.8, 
B,,24,21,0,540,570,500,,MATH D
C,0.74,20,21,6,440,460,380,3.3, 
A,0.99,23,23,7,540,670,550,4,MATH D
B,0.72,24,22,6,510,490,470,4,MATH C
A,0.57,26,31,8,530,760,610,3,MATH D
C,0.58,29,25,8,580,640,560,3.3,MATH D
C,0.84,20,22,8,390,410,430,3.3, 
A,0.77,28,26,4,470,630,500,4,MATH C
A,,33,26,8,, , ,4, 
D,0.67,28,23,6,490,640,490,3.7,MATH C
F,0.71,19,20,8,340,410,380,2.7, 
BC,0.71,19,20,8,340,410,380,2.7, 
AB,0.93,28,25,8,630,720,480,4,MATH D
F,,22,27,5,500,500,520,,MATH C
BC,0.68,24,27,8,560,550,380,3, 
AB,0.85,25,28,8,580,630,570,4,MATH D
AB,0.87,28,29,8,440,490,460,3,MATH B
D,,25,23,8,420,470,450,2,MATH B
BC,,23,25,8,, , ,3.5, 
AB,0.8,24,24,8,510,640,450,4,MATH D
B,0.79,22,23,6,560,570,630,3.5, 
D,0.7,29,30,6,530,760,520,4,MATH D
BC,0.7,29,30,6,530,760,520,4,MATH D
AB,0.83,26,24,8,600,600,610,3.7,MATH D
A,0.97,26,27,8,640,790,570,4,MATH E
D,0.63,28,27,8,390,570,480,4,MATH B
B,0.83,26,29,8,530,550,520,3.5,MATH B
B,0.84,25,22,8,640,630,570,4,MATH E
A,0.96,24,27,5,600,790,630,4,MATH D
A,0.98,26,26,8,610,720,570,4,MATH E
B,,27,24,8,560,630,740,3.7,MATH D
BC,0.82,22,24,8,, , ,3.3, 
A,0.97,29,28,8,660,850,550,4,MATH D
B,0.85,25,25,5,640,550,520,4,MATH D
C,0.83,24,27,4,470,790,500,3.7, 
C,0.87,23,28,7,470,550,450,4, 
BC,0.95,24,21,8,580,600,430,4,MATH D
AB,,26,28,8,520,720,570,,MATH D
C,0.79,23,26,8,520,570,550,4,MATH D
C,,26,20,7,490,640,540,3.5,MATH C
AB,0.91,29,31,8,520,570,550,3.3,MATH D
AB,,24,25,8,530,540,490,3.7, 
AB,0.85,28,25,8,580,600,660,4,MATH D
D,0.71,22,22,6,490,500,480,3.7,MATH C
D,0.77,24,23,6,530,600,450,3.3,MATH D
B,0.85,24,23,6,480,470,360,3.3,MATH C
AB,0.89,25,24,8,660,790,740,4,MATH E
AB,0.72,27,23,8,600,520,570,4, 
AB,0.99,28,27,4,730,630,700,4,MATH E
B,0.78,24,25,6,490,540,520,3.8, 
AB,0.99,24,25,7,530,600,550,4,MATH D
A,0.26,27,27,8,, , ,3, 
AB,,24,25,8,540,470,470,4, 
A,0.86,27,26,8,510,690,560,4,MATH D
AB,0.87,25,23,6,630,640,670,3.8, 
B,0.8,23,23,4,480,470,560,3.3,MATH C
AB,,31,28,8,720,760,670,3, 
F,0.6,19,21,7,410,290,390,3,MATH A
F,0.6,19,21,7,410,290,390,3,MATH A
D,0.69,26,25,6,450,600,520,3.3,MATH C
A,,28,26,7,570,640,590,3.8, 
D,0.42,23,19,6,450,490,540,3,MATH B
C,0.83,25,22,8,570,670,630,3.3,MATH D
B,0.71,26,22,6,450,520,520,3.8, 
C,0.69,25,25,6,480,520,500,3.8,MATH C
BC,0.73,24,22,8,510,600,450,3.3,MATH D
B,0.84,25,25,8,540,550,500,3.5,MATH D
B,,29,25,6,700,760,610,4,MATH E
AB,0.84,26,27,8,570,450,590,4,MATH D
AB,0.82,28,25,5,610,640,610,,MATH E
A,0.86,26,24,6,640,570,710,4, 
AB,,25,24,8,600,600,520,3.3,MATH D
C,,17,20,6,350,350,270,,MATH A
B,0.45,28,29,8,, , ,3, 
B,,19,22,6,440,490,450,3.6,MATH B
AB,,22,22,7,340,460,450,3, 
B,0.86,26,27,6,580,570,560,3.8,MATH D
A,0.85,23,23,8,490,420,540,,MATH C
F,0.57,24,25,8,390,430,340,3,MATH B
C,0.59,17,21,8,470,350,420,3,MATH A
BC,0.71,24,25,7,600,570,610,3,MATH D
B,0.64,27,27,6,490,640,520,4,MATH C
B,0.67,22,20,8,540,460,520,3.3,MATH C
B,,17,21,8,410,350,320,2, 
B,0.82,24,24,0,490,520,360,,MATH C
D,0.8,24,22,8,450,570,490,3.8,MATH C
A,0.97,28,29,6,520,670,480,4,MATH D
AB,0.97,29,29,7,480,790,550,4, 
B,0.86,26,27,7,610,720,550,3.4,MATH D
B,0.87,25,22,8,500,500,600,4,MATH C
B,0.78,25,28,8,630,710,670,4,MATH E
C,0.46,17,24,5,, , ,3.3, 
BC,0.83,25,24,8,660,600,600,3.7, 
BC,0.78,25,25,5,530,520,470,4,MATH D
C,,20,21,8,470,520,450,3.3,MATH B
A,0.82,28,25,6,570,760,610,4,MATH D
B,0.91,20,24,6,450,520,610,3.7,MATH B
B,0.76,26,28,8,570,570,640,3.5,MATH D
B,0.88,23,23,5,570,600,630,4,MATH D
D,0.86,24,26,6,450,640,560,3.2,MATH C
C,0.86,24,26,6,450,640,560,3.2,MATH C
AB,0.79,22,21,7,560,500,520,2.8,MATH D
C,,23,23,6,470,490,490,3.3, 
BC,0.87,24,23,7,450,420,470,3.2,MATH B
B,,22,22,8,460,510,480,3.3,MATH B
BC,0.66,24,22,5,560,480,430,,MATH D
C,0.81,24,23,6,480,690,490,4,MATH C
B,0.92,34,30,8,750,760,670,4,MATH E
B,,25,25,8,, , ,3.7, 
AB,0.93,24,26,6,560,600,390,3.8,MATH D
AB,,23,25,8,490,490,490,3.7, 
C,0.71,24,23,8,440,470,490,4,MATH B
C,0.57,25,25,8,440,570,590,3.3, 
B,0.39,28,28,0,530,600,520,,MATH D
B,0.69,30,27,8,470,640,590,3.8, 
A,0.91,25,24,8,570,570,560,3.8,MATH D
BC,0.92,23,25,6,560,600,420,3.5,MATH D
A,0.94,36,31,0,720,760,850,4,MATH E
BC,0.78,25,25,8,640,760,710,4,MATH E
B,0.76,23,22,7,510,540,540,3.3, 
F,,24,25,8,440,420,360,3, 
C,,24,25,8,440,420,360,3, 
C,0.49,22,20,7,410,570,490,3,MATH B
C,0.75,27,25,4,560,600,610,3.2,MATH D
B,0.88,25,25,6,530,470,540,4, 
F,0.55,22,21,5,330,350,450,2.6, 
C,0.55,22,21,5,330,350,450,2.6, 
BC,,26,25,5,510,600,540,3.3,MATH D
A,,29,27,8,510,640,540,,MATH D
A,,27,28,0,, , ,, 
BC,0.76,27,25,8,530,640,520,3.7,MATH D
B,0.9,20,22,8,510,570,420,4,MATH C
C,0.8,26,23,8,520,630,480,4,MATH D
C,0.61,18,18,5,450,440,480,,MATH B
BC,0.76,28,27,6,530,640,640,3.7,MATH D
AB,0.98,25,26,8,570,570,560,4,MATH D
C,,24,27,8,440,490,470,3,MATH B
B,0.86,25,24,8,420,600,340,3.8,MATH B
BC,0.83,23,21,6,470,450,540,3.8,MATH B
BC,,22,24,6,530,540,390,3,MATH D
A,0.88,25,28,8,, , ,4, 
B,0.67,26,24,7,640,570,490,3.5,MATH D
C,0.78,17,21,8,330,320,390,3.3, 
C,0.6,25,26,8,480,640,470,3,MATH C
C,0.82,23,20,6,350,420,390,3.7,MATH B
C,0.78,22,23,8,510,690,470,3.3, 
AB,0.91,25,26,6,640,640,640,4, 
AB,0.88,26,26,8,, , ,4, 
BC,0.75,23,24,6,470,450,450,3.8,MATH B
C,,19,22,8,450,490,470,, 
C,0.89,24,28,8,420,500,450,2.7,MATH B
B,0.72,27,25,6,450,570,520,3.8,MATH C
D,0.9,17,18,8,350,320,390,3,MATH A
B,0.9,17,18,8,350,320,390,3,MATH A
D,,21,22,8,390,400,490,3.6,MATH B
BC,,25,25,6,490,520,610,3.5, 
B,0.82,29,28,6,640,760,710,4,MATH E
A,0.93,24,24,6,560,690,610,4,MATH D
BC,0.4,25,28,8,530,690,590,3,MATH D
D,0.83,22,24,8,410,410,430,3.5,MATH B
C,0.92,24,26,6,440,520,520,4,MATH C
AB,0.86,24,24,8,580,570,470,4,MATH D
BC,,20,20,7,440,330,250,,MATH A
BC,0.78,26,26,8,540,540,610,3,MATH D
C,0.53,18,22,0,350,420,390,,MATH B
A,0.7,23,23,6,490,520,520,3,MATH C
A,0.86,26,24,5,540,600,560,4,MATH D
A,0.8,26,24,6,600,520,670,4,MATH D
A,,18,21,8,460,460,440,3.5,MATH B
AB,0.93,20,23,6,480,470,540,4, 
A,0.84,35,29,8,850,850,840,4,MATH E
A,,25,24,6,530,640,540,4,MATH D
B,0.69,25,25,6,480,520,380,4,MATH C
A,,27,28,8,530,670,450,4,MATH D
B,0.92,27,23,4,680,760,590,3.5,MATH E
A,0.92,25,28,8,, , ,4, 
C,0.57,27,27,8,480,520,540,3.3,MATH C
B,0.91,23,22,5,420,490,540,4,MATH B
A,,26,28,6,, , ,4,MATH D
AB,0.81,24,23,6,660,690,840,4,MATH E
AB,0.93,22,23,6,490,520,470,,MATH C
B,,24,22,6,560,570,420,4, 
B,0.47,24,22,8,520,520,490,2.4, 
B,0.69,18,23,8,580,450,670,3.3,MATH B
BC,,24,25,5,530,600,470,3.7,MATH D
BC,0.75,21,22,8,470,420,490,3.8,MATH B
BC,,18,21,6,380,460,380,3.3,MATH B
C,,22,24,8,450,430,550,3,MATH B
B,,16,22,8,390,350,380,3.7,MATH A
C,0.79,26,24,4,520,690,470,3.3, 
B,0.86,25,26,7,570,600,590,3.8,MATH D
C,0.8,23,20,8,510,600,410,3,MATH D
AB,0.74,30,30,8,770,720,570,4,MATH E
A,0.8,27,26,8,450,520,570,3.8,MATH C
BC,0.66,21,27,8,490,520,450,3.4, 
BC,0.9,24,25,5,490,520,490,4,MATH C
AB,0.77,27,26,8,480,490,470,, 
F,0.63,20,22,6,450,330,340,3.3,MATH A
C,0.75,23,23,6,410,450,450,, 
D,0.55,19,23,6,410,470,320,3,MATH B
B,0.53,23,23,7,390,520,390,, 
C,0.62,30,33,8,700,600,640,,MATH E
AB,0.85,28,25,8,530,570,610,3.8,MATH D
BC,0.6,23,22,8,390,490,450,2.5,MATH B
B,0.57,19,21,6,, , ,3, 
A,0.79,31,27,6,680,760,670,4,MATH E
C,0.68,24,26,6,580,690,540,2.7,MATH D
AB,0.83,25,23,0,580,640,610,,MATH D
BC,,25,29,8,440,640,470,4,MATH C
A,0.8,21,22,6,530,570,490,3.5,MATH D
C,0.76,24,22,8,540,570,560,4,MATH D
D,,24,24,8,470,450,390,3.3, 
B,0.78,21,24,8,440,520,450,4, 
BC,0.71,24,25,6,520,570,590,4,MATH D
AB,0.72,26,25,5,540,670,570,3.5,MATH D
C,0.73,24,23,6,490,550,430,3.3,MATH C
A,0.84,25,24,8,440,540,520,4,MATH C
A,0.89,28,27,8,770,850,660,3.6,MATH E
D,0.52,22,23,7,350,380,490,,MATH B
B,,28,25,0,, , ,3.4, 
BC,0.62,30,28,8,, , ,3.4,MATH E
A,0.74,26,23,5,640,550,630,4,MATH E
BC,0.86,24,23,6,510,470,520,4,MATH C
B,0.85,22,23,7,390,490,360,4,MATH B
C,0.91,20,22,6,600,600,490,4,MATH C
B,0.87,28,23,8,660,790,660,4,MATH E
A,,26,26,8,570,540,560,4,MATH D
AB,0.71,24,22,8,440,450,490,3,MATH B
B,,27,24,8,630,720,740,4,MATH E
C,0.7,22,24,8,490,520,490,4,MATH C
A,0.75,28,25,8,480,600,560,3.4,MATH C
AB,0.88,25,25,8,570,450,610,4, 
C,0.86,26,28,5,600,570,610,4, 
AB,0.87,21,24,6,540,600,450,3.8,MATH D
AB,0.93,32,28,8,610,640,560,3.8,MATH E
AB,0.85,25,22,4,520,540,670,4,MATH D
AB,0.86,27,30,5,, , ,4, 
AB,0.84,27,23,8,600,720,520,4,MATH D
A,0.92,25,24,7,520,600,400,4,MATH D
C,,25,25,6,530,520,630,4,MATH D
BC,0.92,26,22,6,490,600,490,4,MATH C
B,0.91,22,20,8,530,540,490,4,MATH D
A,0.83,24,25,8,570,640,360,4,MATH D
C,,23,19,5,460,560,580,3.3,MATH C
B,0.76,25,27,6,520,520,600,,MATH D
D,,22,24,8,560,550,500,3.3,MATH D
A,,22,24,8,560,550,500,3.3,MATH D
D,,22,25,8,440,430,300,3.7, 
AB,,21,22,8,470,410,380,3.8,MATH B
D,,22,21,6,, , ,3.3, 
BC,0.95,23,25,6,, , ,4, 
B,0.58,27,25,6,630,720,700,4,MATH E
D,0.22,17,18,6,490,400,440,1.7,MATH B
D,0.22,17,18,6,490,400,440,1.7,MATH B
C,0.62,24,23,6,510,600,540,2.5,MATH D
AB,0.82,30,21,7,630,600,600,3.5,MATH E
A,0.82,25,23,8,570,600,630,4,MATH D
D,0.69,24,25,6,410,450,450,3.8, 
C,0.69,24,25,6,410,450,450,3.8, 
A,0.77,21,22,5,410,420,540,3.7,MATH B
B,0.84,21,22,8,450,540,490,3.7, 
A,0.9,30,26,8,680,850,760,4,MATH E
A,0.8,26,27,8,510,540,520,3.3,MATH D
C,0.72,20,20,7,510,470,390,3.8,MATH B
B,0.9,17,20,6,440,380,190,4,MATH A
B,0.9,25,24,8,560,520,500,4,MATH D
BC,0.77,21,20,5,440,570,430,3.8,MATH C
A,0.63,26,25,6,470,430,450,3.7,MATH B
C,0.74,24,26,8,310,240,340,2.7,MATH B
C,0.74,24,23,8,390,450,470,,MATH B
AB,,26,25,8,440,690,520,3.6, 
BC,0.58,24,22,6,610,540,520,3,MATH D
B,0.92,24,23,6,490,490,490,4,MATH C
D,,17,18,8,300,250,390,,MATH A
BC,,20,27,5,420,450,270,3,MATH B
C,,20,22,8,450,400,360,3.2, 
BC,0.82,22,22,8,510,470,490,2.3, 
BC,0.58,25,22,8,450,540,540,3.4,MATH C
D,,26,30,8,480,520,520,3,MATH C
D,0.73,26,25,8,520,470,560,3.8,MATH C
D,,28,28,8,540,570,480,3.8,MATH D
A,0.95,25,24,8,530,690,590,4, 
B,,29,28,6,610,760,670,4,MATH E
BC,0.93,24,23,6,580,640,610,3.8, 
F,0.95,30,26,7,540,640,560,4,MATH D
F,0.95,30,26,7,540,640,560,4,MATH D
F,0.64,30,31,6,520,640,560,3.5,MATH D
BC,,30,27,8,570,600,490,, 
D,,23,21,8,490,470,470,4,MATH C
C,,23,21,8,490,470,470,4,MATH C
AB,,26,21,6,510,640,390,3.8, 
A,,26,25,8,630,600,520,4,MATH D
B,0.76,24,23,6,510,470,390,3.5,MATH C
D,0.88,20,21,6,470,470,420,3,MATH B
D,0.81,19,22,8,480,450,450,3.5,MATH B
B,,19,24,0,300,450,450,,MATH B
B,0.91,18,21,6,350,290,520,4, 
C,0.75,23,21,8,450,520,490,3.7, 
AB,0.88,26,25,8,580,490,610,4,MATH D
C,0.84,25,24,8,630,640,640,4,MATH E
AB,0.87,21,22,6,410,570,420,3.8, 
AB,,24,28,8,580,600,520,3.5,MATH D
C,0.78,27,28,5,390,720,500,3.8,MATH B
B,0.96,26,27,0,540,600,570,4,MATH D
D,0.75,24,23,5,440,520,520,4, 
A,0.96,24,23,4,490,520,540,3.7, 
BC,0.88,21,23,6,470,520,400,3.8,MATH C
A,0.96,25,22,5,640,850,600,4,MATH E
AB,0.91,24,26,6,540,720,550,4, 
BC,0.81,26,22,8,640,640,640,,MATH E
A,,26,24,4,530,640,560,3.5,MATH D
AB,0.81,24,23,8,490,600,420,3.3, 
B,0.92,16,20,8,440,470,490,3.7,MATH B
A,0.94,33,30,8,700,760,850,4, 
D,0.71,25,25,8,390,400,490,3,MATH B
D,0.8,22,21,6,350,490,490,4, 
B,0.75,29,28,8,660,640,670,4,MATH E
A,0.98,32,29,8,600,760,610,4,MATH D
B,0.74,26,25,8,530,550,550,3.3,MATH D
A,0.69,27,27,8,570,760,670,3.8,MATH D
D,0.82,18,23,7,410,450,420,,MATH B
D,0.75,25,23,8,480,520,450,4,MATH C
AB,,28,26,8,680,600,710,3.8,MATH E
C,0.96,25,26,6,510,650,420,4, 
A,0.9,27,25,5,580,640,670,4,MATH D
A,0.93,28,28,8,680,760,710,4,MATH E
A,0.9,33,27,8,660,760,640,4, 
B,,24,24,8,560,520,470,3, 
AB,0.99,26,27,8,530,600,560,4,MATH D
B,0.76,22,22,7,420,350,270,,MATH B
A,0.9,29,25,5,750,760,710,4,MATH E
C,0.79,23,21,8,470,450,390,4,MATH B
AB,0.71,22,22,8,420,420,420,3.2,MATH B
B,,17,21,6,410,520,470,3.3,MATH B
B,0.87,23,23,5,480,600,490,4, 
B,0.85,30,26,8,530,690,640,3.7,MATH D
F,0.72,19,21,6,420,480,380,3.3,MATH B
BC,0.72,19,21,6,420,480,380,3.3,MATH B
BC,0.76,22,25,0,420,470,490,,MATH B
AB,0.82,26,27,6,640,600,540,3.5,MATH D
AB,,26,27,5,600,600,590,3.2,MATH D
A,,27,27,4,530,640,610,3.3,MATH D
AB,,24,24,6,470,350,640,3,MATH B
C,0.8,26,22,8,560,570,590,3.3,MATH D
AB,,26,23,8,570,520,700,4,MATH D
AB,0.7,28,26,8,570,850,590,3.7, 
AB,0.92,15,19,8,470,420,320,4,MATH B
BC,0.49,24,22,5,490,570,540,3, 
BC,,20,23,0,420,420,420,3, 
B,,27,26,0,570,760,520,3.6,MATH D
A,0.96,28,26,8,600,600,610,4, 
A,0.92,30,30,8,610,790,600,3.8,MATH E
B,,24,24,6,520,480,480,3.7, 
A,0.82,25,25,8,540,540,450,3.7,MATH D
B,0.84,24,23,4,440,490,520,3.5,MATH B
F,0.85,21,25,8,450,540,360,3.3, 
C,0.85,21,25,8,450,540,360,3.3, 
B,0.83,30,26,0,560,600,610,4,MATH D
BC,0.32,16,15,6,440,400,410,2, 
C,0.66,31,29,7,610,690,760,,MATH E
C,,25,23,8,490,520,560,3.5,MATH C
AB,0.9,21,24,5,440,640,450,4, 
B,0.7,22,24,7,480,520,390,, 
A,0.84,23,27,4,390,490,470,4,MATH B
B,0.73,26,27,7,450,570,610,4,MATH C
BC,,24,23,6,450,450,590,3, 
AB,0.68,28,25,8,580,600,710,4,MATH D
AB,0.85,24,24,8,490,520,560,4,MATH C
BC,0.82,23,22,6,370,420,420,3.7, 
B,0.87,25,25,6,510,570,540,3.5,MATH D
C,0.79,21,23,4,470,520,470,4, 
BC,,26,24,8,470,520,540,4,MATH C
D,0.85,24,24,6,540,540,640,4,MATH D
BC,0.85,24,24,6,540,540,640,4,MATH D
A,0.86,26,26,8,600,690,710,4,MATH D
C,0.86,27,27,6,610,690,560,3.8,MATH E
A,0.89,30,28,8,610,640,840,4,MATH E
A,,23,25,8,510,540,390,3.7, 
B,0.89,26,28,8,680,690,560,3.8,MATH E
C,0.7,23,25,5,440,570,490,3.5, 
AB,0.63,24,21,6,470,480,480,3.7,MATH B
A,0.95,27,25,6,640,640,560,4, 
B,0.78,26,24,8,560,640,540,3.2,MATH D
D,,18,22,8,480,540,470,3.8,MATH C
AB,0.94,26,30,6,630,540,560,4,MATH E
AB,0.76,27,30,6,680,850,640,3.3,MATH E
BC,,26,24,0,600,490,590,3.3,MATH D
C,0.7,27,24,6,570,600,560,3.7,MATH D
C,0.73,23,22,5,420,400,420,3,MATH B
B,0.77,24,25,4,390,490,540,,MATH B
A,0.98,29,27,8,730,720,660,4,MATH E
B,0.8,23,22,8,580,570,520,3.4,MATH D
D,0.85,24,23,8,330,450,320,,MATH B
BC,0.77,17,20,6,420,380,450,3.5, 
B,0.71,26,27,6,580,490,670,3.3,MATH D
B,0.63,22,21,5,, , ,4, 
AB,0.89,26,24,8,560,600,590,4,MATH D
B,0.91,27,25,6,510,520,590,4,MATH D
AB,0.75,29,25,8,, , ,4, 
B,0.86,24,24,6,, , ,, 
BC,,24,26,8,510,520,590,3.2,MATH D
BC,0.69,22,24,5,540,470,520,2.5,MATH D
A,,27,23,5,540,600,560,, 
B,0.87,22,19,8,420,420,540,4,MATH B
BC,0.94,27,26,6,580,570,550,4, 
BC,0.58,19,20,6,410,350,390,2.7, 
C,0.57,19,18,6,480,520,480,3.5,MATH C
A,0.87,23,26,5,500,430,400,3.5,MATH C
A,,26,25,8,, , ,3,MATH B
C,0.65,25,25,6,530,570,540,3.5,MATH D
BC,0.9,23,25,6,420,450,420,4, 
B,0.64,28,26,6,570,540,610,3.5,MATH D
B,,26,25,6,520,520,490,3.4, 
C,0.8,22,23,8,440,490,390,3.5, 
A,0.91,19,20,6,480,570,450,4, 
A,0.91,28,27,8,570,760,560,4,MATH D
A,0.92,27,28,8,540,850,670,4,MATH D
C,,22,23,8,440,450,470,3.3, 
A,0.87,28,26,8,600,600,560,4,MATH D
C,0.77,26,23,6,440,540,390,3.7,MATH C
AB,0.89,23,24,8,520,600,640,4, 
C,0.7,18,22,6,420,410,450,,MATH B
A,0.75,31,29,8,680,640,640,3.5,MATH E
AB,,28,26,8,520,540,490,4, 
B,0.86,26,26,4,490,600,540,,MATH C
AB,,22,22,6,, , ,3.3,MATH B
D,0.72,26,28,5,610,550,660,4,MATH E
A,0.83,24,24,4,520,470,590,3.5, 
B,0.92,26,24,8,530,520,450,4,MATH D
B,0.76,18,23,0,440,320,450,3,MATH A
D,0.59,23,27,4,390,400,520,3.3,MATH B
A,,22,25,8,510,490,520,2.7,MATH C
B,0.75,24,24,5,470,490,420,3.4,MATH B
F,0.91,24,29,7,530,570,470,3.3,MATH D
BC,0.85,20,22,6,490,570,520,3.7,MATH C
AB,0.96,26,26,8,510,570,670,3.8, 
AB,,23,22,0,490,540,390,, 
A,0.99,24,24,6,680,850,470,4,MATH D
BC,,24,24,8,, , ,3.7, 
C,0.8,24,22,8,560,690,590,4,MATH D
AB,,24,22,8,440,540,450,4,MATH C
F,0.86,24,24,6,480,570,540,3.5,MATH C
B,0.78,23,20,6,440,480,570,3.8, 
A,0.9,29,28,6,530,720,740,3,MATH D
AB,0.76,26,22,8,440,600,470,3.3, 
C,0.9,25,22,5,390,430,430,3.8,MATH B
A,,30,28,8,660,570,610,3.8,MATH E
A,,27,27,0,610,760,560,,MATH E
B,,20,23,8,470,520,450,3,MATH B
B,,23,21,6,410,450,390,3.7, 
D,0.9,23,24,4,520,520,320,4,MATH D
B,0.84,23,25,7,490,520,520,4,MATH C
B,0.91,22,23,6,480,420,420,3.3, 
D,,18,20,8,410,410,340,4,MATH B
F,0.88,27,24,8,560,600,670,,MATH E
BC,0.65,22,20,0,450,420,470,,MATH B
C,0.73,26,26,6,520,450,320,3.4,MATH C
B,0.88,22,23,6,450,450,360,2.7,MATH B
D,,26,28,7,480,600,610,3.5,MATH C
A,0.73,24,24,0,470,520,360,3.8, 
C,0.83,25,24,6,490,520,420,3.5,MATH C
D,0.83,24,24,8,480,450,360,3.4,MATH C
D,0.83,24,24,8,480,450,360,3.4,MATH C
C,0.85,23,22,5,560,540,560,3.7,MATH D
A,,24,22,8,520,470,560,3.5,MATH C
B,0.94,24,23,6,440,640,560,3.2,MATH C
BC,0.72,25,23,6,570,850,640,4, 
B,0.79,24,24,8,490,570,490,4,MATH C
BC,,22,25,8,510,570,470,3.6,MATH D
BC,0.65,25,26,6,510,450,590,3,MATH C
C,,24,24,8,, , ,3.3,MATH B
C,0.81,23,23,5,450,600,450,3.3, 
A,0.92,26,26,6,530,540,560,4, 
A,,29,31,8,640,690,710,4,MATH E
A,0.84,30,25,6,850,850,760,3.3,MATH E
A,0.77,27,24,6,, , ,4, 
AB,,27,25,8,610,720,700,4,MATH E
AB,,30,31,8,, , ,3.8,MATH B
C,0.76,23,22,8,450,470,420,2.5,MATH B
D,,25,22,6,520,520,560,3.3,MATH D
C,0.78,19,22,6,480,520,420,3.3,MATH C
B,,28,29,8,, , ,,MATH E
BC,0.97,28,25,5,700,640,560,4,MATH E
B,0.78,28,27,8,610,760,590,3.8,MATH E
B,0.61,22,21,8,390,450,490,3.3, 
B,0.92,23,23,0,640,600,540,4,MATH D
C,,25,24,6,560,600,590,,MATH D
B,0.81,31,30,7,560,640,640,4,MATH D
BC,0.71,22,23,5,450,290,390,3.2, 
A,,29,26,6,570,600,760,3.8,MATH D
AB,0.69,25,23,5,490,760,420,4,MATH C
B,0.8,20,22,8,520,650,490,4,MATH C
B,0.95,29,26,8,610,720,600,4,MATH E
AB,,27,23,8,540,490,560,3,MATH D
A,0.86,26,26,8,610,690,560,3.8,MATH E
